epoch,train_loss,train_lr,n_parameters
0,0.09828249124979273,1.949467462546817e-05,1217
1,0.07311712637585535,3.9059315049308636e-05,1217
2,0.06827422395376453,3.9040173343492594e-05,1217
3,0.0639465343911717,3.900189126318715e-05,1217
4,0.05797292451524221,3.894450735520201e-05,1217
5,0.05257738282562195,3.8868079400268425e-05,1217
6,0.04870508013341981,3.8772684354858414e-05,1217
7,0.04584482510500912,3.8658418273696394e-05,1217
8,0.04366754795937391,3.852539621304025e-05,1217
9,0.042023351700271896,3.8373752114829143e-05,1217
10,0.04083856432576584,3.8203638671815765e-05,1217
11,0.04014598015933001,3.801522717381732e-05,1217
12,0.039509476921154876,3.780870733524132e-05,1217
13,0.038961118240648886,3.758428710405922e-05,1217
14,0.038639420219644734,3.7342192452420546e-05,1217
15,0.038281123585517655,3.708266714911809e-05,1217
16,0.03800394220019548,3.680597251413323e-05,1217
17,0.03768848163975675,3.651238715550898e-05,1217
18,0.037408242167814285,3.620220668881525e-05,1217
19,0.037140747231399915,3.58757434394892e-05,1217
20,0.03693514715789465,3.5533326128349776e-05,1217
21,0.036681034280447646,3.517529954060391e-05,1217
22,0.03648883816245455,3.480202417867669e-05,1217
23,0.03627312773043353,3.4413875899216456e-05,1217
24,0.03603776097158144,3.401124553463874e-05,1217
25,0.035761794157340175,3.3594538499591066e-05,1217
26,0.035623016878822994,3.3164174382735116e-05,1217
27,0.03535376624500707,3.2720586524256e-05,1217
28,0.03528043434934251,3.226422157952601e-05,1217
29,0.03502613888994166,3.1795539069360103e-05,1217
30,0.03491803978513996,3.131501091731731e-05,1217
31,0.03462277230900827,3.082312097451431e-05,1217
32,0.0345397198647749,3.0320364532427655e-05,1217
33,0.034418724419737465,2.9807247824177715e-05,1217
34,0.03423792817577552,2.9284287514794724e-05,1217
35,0.034118252086072935,2.875201018098072e-05,1217
36,0.034009520689109236,2.821095178089167e-05,1217
37,0.03386161243891839,2.7661657114472954e-05,1217
38,0.03368444848554523,2.7104679274891754e-05,1217
39,0.033612405886517815,2.6540579091619736e-05,1217
40,0.03346980276800106,2.5969924565724648e-05,1217
41,0.03335979203118032,2.5393290297941748e-05,1217
42,0.033303416796265806,2.4811256910099518e-05,1217
43,0.03323254543129871,2.4224410460482674e-05,1217
44,0.03311756966951258,2.3633341853721077e-05,1217
45,0.032990571646863934,2.30386462457991e-05,1217
46,0.03292537979216555,2.2440922444783625e-05,1217
47,0.032885995404864574,2.1840772307875456e-05,1217
48,0.032749422619203,2.1238800135389862e-05,1217
49,0.03265668197067573,2.0635612062277615e-05,1217
50,0.032574702085655056,2.003181544779819e-05,1217
51,0.03256642617972407,1.9428018263960793e-05,1217
52,0.03248958284042301,1.8824828483347797e-05,1217
53,0.03245701901318177,1.8222853466938123e-05,1217
54,0.032377211431090194,1.762269935254604e-05,1217
55,0.03226609563294533,1.7024970444491803e-05,1217
56,0.03223203251326687,1.643026860511858e-05,1217
57,0.03214244091227539,1.583919264876788e-05,1217
58,0.03210755096563602,1.5252337738824413e-05,1217
59,0.03211704029419114,1.4670294788436862e-05,1217
60,0.032027046602526296,1.4093649865518653e-05,1217
61,0.03200408269926794,1.3522983602627065e-05,1217
62,0.031995457508130355,1.2958870612315495e-05,1217
63,0.031925033349787975,1.2401878908547408e-05,1217
64,0.031886894404992795,1.1852569334754327e-05,1217
65,0.03181841286868973,1.1311494999114073e-05,1217
66,0.031818851697771405,1.077920071761768e-05,1217
67,0.031808599342211856,1.0256222465486077e-05,1217
68,0.03174432403885861,9.7430868374881e-06,1217
69,0.03170830038400569,9.240310517704522e-06,1217
70,0.03170174595198772,8.748399759270847e-06,1217
71,0.03167848592826378,8.267849874623317e-06,1217
72,0.03160643494907725,7.79914473676132e-06,1217
73,0.031621809637222845,7.342756292028246e-06,1217
74,0.031560479059871215,6.899144084901535e-06,1217
75,0.031561812333595216,6.468754795270373e-06,1217
76,0.031572059034073396,6.052021788666892e-06,1217
77,0.03151430828454957,5.649364679903789e-06,1217
78,0.03145113553980903,5.261188910557796e-06,1217
79,0.03152240267675719,4.887885340724415e-06,1217
80,0.031468823075134045,4.5298298554548675e-06,1217
81,0.03144489130622634,4.187382986271753e-06,1217
82,0.031482833822184565,3.8608895481443644e-06,1217
83,0.03145738403323326,3.5506782922892365e-06,1217
84,0.03145420851015001,3.2570615751455298e-06,1217
85,0.03138356243978753,2.9803350438585833e-06,1217
86,0.03139106736235907,2.7207773385882987e-06,1217
87,0.03141774112805166,2.4786498119421215e-06,1217
88,0.03141200919600713,2.2541962658151166e-06,1217
89,0.03134754802752635,2.0476427059021103e-06,1217
90,0.03132458614562167,1.8591971141291503e-06,1217
91,0.031400765786784586,1.689049239233295e-06,1217
92,0.031339326653671395,1.5373704057017532e-06,1217
93,0.03126492939823157,1.4043133412626237e-06,1217
94,0.03138509099301969,1.2900120231010343e-06,1217
95,0.031373812477819424,1.1945815429554618e-06,1217
96,0.031370861582241755,1.1181179912301224e-06,1217
97,0.03133485322096123,1.0606983602400606e-06,1217
98,0.03133016884455995,1.0223804666864347e-06,1217
99,0.0313603317143556,1.0032028934399822e-06,1217
